T,T1,code,name,boards_T,theme,amount_yi,yizi,gonggao,natural,open_pct_T1,open_T1,high_T1,low_T1,close_T1,prev_close_T1,cont_T1,in_zt_T1,dead_h,dead_names,down_h,anchor_type,anchor_name
2026-01-15,2026-01-16,002707,众信旅游,2,人工智能,2.37,True,False,True,,,,,,,False,False,5,直真科技5,2,anchor_nat_yizi,华胜天成
2026-01-15,2026-01-16,300758,七彩化学,2,人工智能,9.21,False,False,True,,,,,,,False,False,5,直真科技5,2,anchor_nat_yizi,华胜天成
2026-01-15,2026-01-16,600058,五矿发展,2,并购重组,2.19,True,True,False,10.02,13.94,13.94,13.94,13.94,12.67,True,True,5,直真科技5,2,anchor_nat_yizi,华胜天成
2026-01-15,2026-01-16,600410,华胜天成,2,人工智能,8.75,True,False,True,-1.97,23.94,24.29,21.98,21.99,24.42,False,False,5,直真科技5,2,anchor_nat_yizi,华胜天成
2026-01-15,2026-01-16,600785,新华百货,2,股权转让,4.86,False,True,False,9.99,18.82,18.82,17.68,18.82,17.11,True,True,5,直真科技5,2,anchor_nat_yizi,华胜天成
2026-01-15,2026-01-16,603056,德邦股份,2,并购重组,0.26,True,True,False,10.01,18.68,18.68,18.68,18.68,16.98,True,True,5,直真科技5,2,anchor_nat_yizi,华胜天成
2026-01-15,2026-01-16,605287,德才股份,2,基础建设,4.57,False,False,True,0.0,37.22,40.22,34.81,39.52,37.22,False,False,5,直真科技5,2,anchor_nat_yizi,华胜天成
2026-01-19,2026-01-20,002931,锋龙股份,14,机器人概念,2.18,True,False,True,10.0,74.77,74.77,74.77,74.77,67.97,True,True,5,博菲电气5,14,anchor_nat_yizi,锋龙股份
2026-01-26,2026-01-27,000593,德龙汇能,2,天然气,7.86,False,True,False,1.64,18.0,18.38,16.7,17.05,17.71,False,False,18,锋龙股份18,2,anchor_nat_yizi,豫光金铅
2026-01-26,2026-01-27,000603,盛达资源,2,黄金,8.08,False,False,True,0.37,56.74,62.2,56.74,61.04,56.53,False,False,18,锋龙股份18,2,anchor_nat_yizi,豫光金铅
2026-01-26,2026-01-27,000630,铜陵有色,2,黄金,82.57,False,False,True,-0.4,7.47,8.01,7.16,7.54,7.5,False,False,18,锋龙股份18,2,anchor_nat_yizi,豫光金铅
2026-01-26,2026-01-27,000751,锌业股份,2,黄金,20.04,False,False,True,-0.8,6.23,6.72,5.94,6.45,6.28,False,False,18,锋龙股份18,2,anchor_nat_yizi,豫光金铅
2026-01-26,2026-01-27,002218,拓日新能,2,光伏,1.27,True,False,True,2.5,6.16,6.61,6.16,6.61,6.01,True,True,18,锋龙股份18,2,anchor_nat_yizi,豫光金铅
2026-01-26,2026-01-27,002506,协鑫集成,2,光伏,13.58,False,False,True,-2.03,3.38,3.8,3.22,3.69,3.45,False,False,18,锋龙股份18,2,anchor_nat_yizi,豫光金铅
2026-01-26,2026-01-27,002623,亚玛顿,2,光伏,9.87,False,False,True,-7.64,21.04,25.0,21.04,23.5,22.78,False,False,18,锋龙股份18,2,anchor_nat_yizi,豫光金铅
2026-01-26,2026-01-27,002667,威领股份,2,锂电池,2.43,False,False,True,-2.01,18.97,20.08,18.51,19.63,19.36,False,False,18,锋龙股份18,2,anchor_nat_yizi,豫光金铅
2026-01-26,2026-01-27,003042,中农联合,2,农业,5.65,False,False,True,-8.29,19.26,23.1,18.9,23.1,21.0,True,True,18,锋龙股份18,2,anchor_nat_yizi,豫光金铅
2026-01-26,2026-01-27,600531,豫光金铅,2,黄金,2.01,True,False,True,7.3,19.99,20.49,19.31,20.49,18.63,True,True,18,锋龙股份18,2,anchor_nat_yizi,豫光金铅
2026-01-26,2026-01-27,600916,中国黄金,2,黄金,15.74,False,False,True,6.21,10.77,11.15,10.5,11.15,10.14,True,True,18,锋龙股份18,2,anchor_nat_yizi,豫光金铅
2026-01-26,2026-01-27,600986,浙文互联,2,人工智能,63.67,False,False,True,6.94,14.18,14.49,12.6,13.11,13.26,False,False,18,锋龙股份18,2,anchor_nat_yizi,豫光金铅
2026-01-26,2026-01-27,688323,瑞华泰,2,商业航天,8.31,False,False,True,-3.57,29.98,30.95,27.01,29.62,31.09,False,False,18,锋龙股份18,2,anchor_nat_yizi,豫光金铅
2026-01-30,2026-02-02,000995,皇台酒业,2,酿酒,6.73,False,False,True,-4.33,15.24,17.52,14.89,17.52,15.93,True,True,8,白银有色8,2,anchor_nat_yizi,万丰股份
2026-01-30,2026-02-02,002995,天地在线,2,人工智能,19.15,False,False,True,1.45,35.01,37.73,33.0,35.15,34.51,False,False,8,白银有色8,2,anchor_nat_yizi,万丰股份
2026-01-30,2026-02-02,600084,中信尼雅,2,酿酒,1.45,False,False,True,-4.95,6.92,8.01,6.77,7.85,7.28,False,False,8,白银有色8,2,anchor_nat_yizi,万丰股份
