T,T1,code,name,boards_T,theme,fb,rank_T,n_themes_T,fb_T1,rank_T1,open_pct_T1,yizi,amount_yi,touched,sealed,zhaban,dead_h,down_h,group_size,group_key
2026-04-08,2026-04-09,000586,汇源通信,4,通信,18,2,29,7,1,9.46,True,0.87,True,True,False,7,4,1,2026-04-08|4板|通信
2026-04-10,2026-04-13,000889,中嘉博创,3,算力,4,3,22,6,2,-1.61,False,7.76,False,False,False,5,3,1,2026-04-10|3板|算力
2026-04-15,2026-04-16,002124,天邦食品,3,农业,0,22,21,1,13,-2.55,False,12.11,False,False,False,6,3,1,2026-04-15|3板|农业
2026-04-15,2026-04-16,002297,博云新材,3,商业航天,3,3,21,0,24,9.99,True,1.43,True,True,False,6,3,1,2026-04-15|3板|商业航天
2026-04-20,2026-04-21,600156,华升股份,3,算力,4,3,22,1,10,10.01,False,3.57,True,False,True,7,3,1,2026-04-20|3板|算力
2026-04-20,2026-04-21,600961,株冶集团,3,一季报增长,4,3,22,1,10,10.0,True,1.24,True,True,False,7,3,1,2026-04-20|3板|一季报增长
2026-04-20,2026-04-21,603052,可川科技,3,通信,6,2,22,3,3,0.36,False,17.26,False,False,False,7,3,1,2026-04-20|3板|通信
2026-04-20,2026-04-21,603268,松发股份,3,ST摘帽,1,14,22,0,28,2.74,False,17.45,False,False,False,7,3,1,2026-04-20|3板|ST摘帽
2026-04-21,2026-04-22,600961,株冶集团,4,一季报增长,1,10,27,5,3,3.89,True,3.17,True,False,True,6,4,1,2026-04-21|4板|一季报增长
2026-04-22,2026-04-23,002081,金螳螂,4,商业航天,0,17,16,3,5,10.19,True,3.03,True,True,False,4,4,1,2026-04-22|4板|商业航天
2026-04-22,2026-04-23,003018,金富科技,4,算力,4,4,16,5,3,5.36,False,10.36,True,False,True,4,4,1,2026-04-22|4板|算力
2026-04-24,2026-04-27,603318,水发燃气,3,燃气轮机,0,19,18,0,20,7.46,True,1.84,True,True,False,5,3,1,2026-04-24|3板|燃气轮机
