F,water_f,cap_f,near_u,n_pass,n_touch,n_seal,n_zha,seal_r,zha_r,pass_rate,cont_r
2,1.0,99.0,3.0,209,125,98,27,0.784,0.216,0.625748502994012,0.45933014354066987
5,-0.5,99.0,3.0,219,106,83,23,0.7830188679245284,0.2169811320754717,0.655688622754491,0.3744292237442922
1,-0.5,99.0,8.0,259,152,119,33,0.7828947368421053,0.21710526315789475,0.7754491017964071,0.44787644787644787
2,0.5,99.0,6.0,232,138,108,30,0.782608695652174,0.21739130434782608,0.6946107784431138,0.4525862068965517
2,1.0,99.0,7.0,229,138,108,30,0.782608695652174,0.21739130434782608,0.6856287425149701,0.4585152838427948
4,1.0,99.0,8.0,247,138,108,30,0.782608695652174,0.21739130434782608,0.7395209580838323,0.4251012145748988
5,0.5,99.0,5.0,225,115,90,25,0.782608695652174,0.21739130434782608,0.6736526946107785,0.39111111111111113
1,0.0,99.0,7.0,244,147,115,32,0.782312925170068,0.21768707482993196,0.7305389221556886,0.45901639344262296
1,0.0,99.0,3.0,235,142,111,31,0.7816901408450704,0.21830985915492956,0.7035928143712575,0.4595744680851064
2,1.0,99.0,6.0,226,137,107,30,0.781021897810219,0.21897810218978103,0.6766467065868264,0.46017699115044247
1,0.0,99.0,6.0,243,146,114,32,0.7808219178082192,0.2191780821917808,0.7275449101796407,0.4567901234567901
5,1.0,99.0,5.0,221,114,89,25,0.7807017543859649,0.21929824561403508,0.6616766467065869,0.3936651583710407
2,0.0,99.0,8.0,260,150,117,33,0.78,0.22,0.7784431137724551,0.43846153846153846
3,0.5,99.0,7.0,243,136,106,30,0.7794117647058824,0.22058823529411764,0.7275449101796407,0.42386831275720166
1,0.0,99.0,5.0,241,145,113,32,0.7793103448275862,0.2206896551724138,0.7215568862275449,0.45643153526970953
2,0.5,99.0,5.0,228,135,105,30,0.7777777777777778,0.2222222222222222,0.6826347305389222,0.4473684210526316
3,1.0,99.0,7.0,237,135,105,30,0.7777777777777778,0.2222222222222222,0.7095808383233533,0.43037974683544306
1,-0.5,99.0,7.0,254,148,115,33,0.777027027027027,0.22297297297297297,0.7604790419161677,0.4409448818897638
3,0.0,99.0,8.0,267,148,115,33,0.777027027027027,0.22297297297297297,0.7994011976047904,0.41947565543071164
5,0.0,99.0,8.0,265,139,108,31,0.7769784172661871,0.22302158273381295,0.7934131736526946,0.4
4,0.5,99.0,3.0,213,112,87,25,0.7767857142857143,0.22321428571428573,0.6377245508982036,0.39906103286384975
1,-0.5,99.0,3.0,245,143,111,32,0.7762237762237763,0.22377622377622378,0.7335329341317365,0.44081632653061226
2,1.0,99.0,5.0,222,134,104,30,0.7761194029850746,0.22388059701492538,0.6646706586826348,0.45495495495495497
3,0.5,99.0,6.0,238,134,104,30,0.7761194029850746,0.22388059701492538,0.7125748502994012,0.42436974789915966
1,-0.5,99.0,6.0,253,147,114,33,0.7755102040816326,0.22448979591836735,0.7574850299401198,0.43873517786561267
3,0.5,99.0,5.0,231,129,100,29,0.7751937984496124,0.2248062015503876,0.6916167664670658,0.4199134199134199
2,-0.5,99.0,8.0,267,151,117,34,0.7748344370860927,0.2251655629139073,0.7994011976047904,0.42696629213483145
4,1.0,99.0,3.0,207,111,86,25,0.7747747747747747,0.22522522522522523,0.6197604790419161,0.4057971014492754
3,1.0,99.0,6.0,232,133,103,30,0.7744360902255639,0.22556390977443608,0.6946107784431138,0.43103448275862066
