family,filters,outcome,n,wins,rate,h1_n,h1_w,h1,h2_n,h2_w,h2,claim
alt_plus,ge3_unopened_tn8+belowH,hold_touch3,42,29,0.6905,25,17,0.6800,17,12,0.7059,False
alt_plus,ge3_unopened_tn8+belowH,open_up,40,17,0.4250,24,12,0.5000,16,5,0.3125,False
alt_plus,ge3_unopened_tn8+belowH,open_flat,40,22,0.5500,24,16,0.6667,16,6,0.3750,False
alt_plus,ge3_unopened_tn8+belowH,touch3,40,27,0.6750,24,16,0.6667,16,11,0.6875,False
alt_plus,ge3_unopened_tn8+belowH,hold_3d,41,24,0.5854,24,15,0.6250,17,9,0.5294,False
alt_plus,ge3_unopened_tn8+ge5,maxc3,15,12,0.8000,11,8,0.7273,4,4,1.0000,False
alt_plus,ge3_unopened_tn8+ge5,hold_close,15,11,0.7333,11,8,0.7273,4,3,0.7500,False
alt_plus,ge3_unopened_tn8+ge5,hold_flat,15,11,0.7333,11,8,0.7273,4,3,0.7500,False
alt_plus,ge3_unopened_tn8+ge5,hold_touch3,15,11,0.7333,11,7,0.6364,4,4,1.0000,False
alt_plus,ge3_unopened_tn8+ge5,open_up,14,7,0.5000,10,4,0.4000,4,3,0.7500,False
alt_plus,ge3_unopened_tn8+ge5,open_flat,14,9,0.6429,10,6,0.6000,4,3,0.7500,False
alt_plus,ge3_unopened_tn8+ge5,touch3,14,10,0.7143,10,6,0.6000,4,4,1.0000,False
alt_plus,ge3_unopened_tn8+ge5,hold_3d,15,11,0.7333,11,7,0.6364,4,4,1.0000,False
alt_plus,ge3_unopened_tn8+eq4,maxc3,21,17,0.8095,11,9,0.8182,10,8,0.8000,False
alt_plus,ge3_unopened_tn8+eq4,hold_close,21,14,0.6667,11,6,0.5455,10,8,0.8000,False
alt_plus,ge3_unopened_tn8+eq4,hold_flat,21,14,0.6667,11,6,0.5455,10,8,0.8000,False
alt_plus,ge3_unopened_tn8+eq4,hold_touch3,21,13,0.6190,11,7,0.6364,10,6,0.6000,False
alt_plus,ge3_unopened_tn8+eq4,open_up,19,7,0.3684,11,5,0.4545,8,2,0.2500,False
alt_plus,ge3_unopened_tn8+eq4,open_flat,19,11,0.5789,11,6,0.5455,8,5,0.6250,False
alt_plus,ge3_unopened_tn8+eq4,touch3,19,11,0.5789,11,7,0.6364,8,4,0.5000,False
alt_plus,ge3_unopened_tn8+eq4,hold_3d,20,13,0.6500,10,7,0.7000,10,6,0.6000,False
alt_plus,ge3_unopened_tn8+amt_mid,maxc3,11,8,0.7273,3,2,0.6667,8,6,0.7500,False
alt_plus,ge3_unopened_tn8+amt_mid,hold_close,11,6,0.5455,3,2,0.6667,8,4,0.5000,False
alt_plus,ge3_unopened_tn8+amt_mid,hold_flat,11,6,0.5455,3,2,0.6667,8,4,0.5000,False
alt_plus,ge3_unopened_tn8+amt_mid,hold_touch3,11,8,0.7273,3,2,0.6667,8,6,0.7500,False
alt_plus,ge3_unopened_tn8+amt_mid,open_up,10,3,0.3000,3,1,0.3333,7,2,0.2857,False
alt_plus,ge3_unopened_tn8+amt_mid,open_flat,10,6,0.6000,3,2,0.6667,7,4,0.5714,False
alt_plus,ge3_unopened_tn8+amt_mid,touch3,10,7,0.7000,3,2,0.6667,7,5,0.7143,False
alt_plus,ge3_unopened_tn8+amt_mid,hold_3d,11,6,0.5455,3,1,0.3333,8,5,0.6250,False
alt_plus,ge3_unopened_tn8+turn_mid,maxc3,50,40,0.8000,22,17,0.7727,28,23,0.8214,False
alt_plus,ge3_unopened_tn8+turn_mid,hold_close,50,36,0.7200,22,17,0.7727,28,19,0.6786,False
alt_plus,ge3_unopened_tn8+turn_mid,hold_flat,50,36,0.7200,22,17,0.7727,28,19,0.6786,False
alt_plus,ge3_unopened_tn8+turn_mid,hold_touch3,50,33,0.6600,22,13,0.5909,28,20,0.7143,False
alt_plus,ge3_unopened_tn8+turn_mid,open_up,46,19,0.4130,21,9,0.4286,25,10,0.4000,False
alt_plus,ge3_unopened_tn8+turn_mid,open_flat,46,23,0.5000,21,11,0.5238,25,12,0.4800,False
alt_plus,ge3_unopened_tn8+turn_mid,touch3,46,29,0.6304,21,12,0.5714,25,17,0.6800,False
alt_plus,ge3_unopened_tn8+turn_mid,hold_3d,49,28,0.5714,21,11,0.5238,28,17,0.6071,False
alt_plus,ge3_unopened_tn8+circ_mid,maxc3,46,37,0.8043,22,16,0.7273,24,21,0.8750,False
alt_plus,ge3_unopened_tn8+circ_mid,hold_close,46,31,0.6739,22,15,0.6818,24,16,0.6667,False
alt_plus,ge3_unopened_tn8+circ_mid,hold_flat,46,31,0.6739,22,15,0.6818,24,16,0.6667,False
alt_plus,ge3_unopened_tn8+circ_mid,hold_touch3,46,36,0.7826,22,15,0.6818,24,21,0.8750,False
alt_plus,ge3_unopened_tn8+circ_mid,open_up,43,17,0.3953,21,9,0.4286,22,8,0.3636,False
alt_plus,ge3_unopened_tn8+circ_mid,open_flat,43,22,0.5116,21,12,0.5714,22,10,0.4545,False
